approve_estimate,disapprove_estimate,date
44.357695,49.904664,2021-10-13
43.995208,49.560016,2021-10-12
44.015256,49.580564,2021-10-11
44.160974,49.328393,2021-10-10
44.160974,49.328393,2021-10-09
44.160974,49.328393,2021-10-08
44.858165,48.281028,2021-10-07
44.934047,49.332431,2021-10-06
45.804673,48.38875,2021-10-05
45.796956,48.445406,2021-10-04
45.867995,48.696734,2021-10-03
45.867995,48.696734,2021-10-02
45.867995,48.696734,2021-10-01
45.895294,48.682022,2021-09-30
45.886283,49.224289,2021-09-29
46.50698,48.856114,2021-09-28
46.519547,48.757209,2021-09-27
47.340349,48.878028,2021-09-26
47.340349,48.878028,2021-09-25
47.337971,48.879397,2021-09-24
46.997247,48.934518,2021-09-23
46.980279,48.988443,2021-09-22
46.936269,49.232039,2021-09-21
46.274407,49.526577,2021-09-20
46.595166,48.954725,2021-09-19
46.025287,49.071647,2021-09-18
46.016487,49.073599,2021-09-17
46.108592,49.052442,2021-09-16
46.106447,49.888929,2021-09-15
45.64581,49.99956,2021-09-14
45.63748,49.917495,2021-09-13
45.517299,50.037034,2021-09-12
45.517299,50.037034,2021-09-11
45.518097,50.033592,2021-09-10
45.613606,49.420359,2021-09-09
45.313775,49.431623,2021-09-08
45.393391,49.168551,2021-09-07
46.247317,48.226526,2021-09-06
46.02389,48.378915,2021-09-05
46.02389,48.378915,2021-09-04
46.02389,48.378915,2021-09-03
45.871456,48.483023,2021-09-02
46.408959,48.073584,2021-09-01
46.33472,48.154739,2021-08-31
46.681208,48.059229,2021-08-30
47.009413,47.500992,2021-08-29
47.009413,47.500992,2021-08-28
47.009413,47.500992,2021-08-27
46.949896,47.625339,2021-08-26
47.407372,47.429404,2021-08-25
47.094676,47.51569,2021-08-24
48.339459,46.102845,2021-08-23
49.467607,46.098606,2021-08-22
49.380109,45.743988,2021-08-21
49.380109,45.743988,2021-08-20
49.245894,45.41457,2021-08-19
49.394694,45.153931,2021-08-18
49.539737,44.799788,2021-08-17
49.647723,44.661155,2021-08-16
49.949543,44.570188,2021-08-15
49.949543,44.570188,2021-08-14
49.949543,44.570188,2021-08-13
50.444984,44.121794,2021-08-12
50.522995,43.950881,2021-08-11
50.770592,43.618325,2021-08-10
50.733475,43.898147,2021-08-09
50.582563,43.853808,2021-08-08
50.582563,43.853808,2021-08-07
50.582563,43.853808,2021-08-06
50.548906,43.942102,2021-08-05
50.570787,43.691587,2021-08-04
51.15668,43.343993,2021-08-03
51.250998,43.13634,2021-08-02
51.046072,44.540435,2021-08-01
51.046072,44.540435,2021-07-31
51.046072,44.540435,2021-07-30
51.080401,44.513927,2021-07-29
51.538847,44.092601,2021-07-28
52.104511,43.61293,2021-07-27
52.339143,43.402333,2021-07-26
51.811882,43.497205,2021-07-25
51.811882,43.497205,2021-07-24
51.811882,43.497205,2021-07-23
51.857024,43.515167,2021-07-22
51.761147,43.527455,2021-07-21
51.795959,43.427526,2021-07-20
51.668722,43.451901,2021-07-19
51.551729,43.576131,2021-07-18
51.551729,43.576131,2021-07-17
51.551729,43.576131,2021-07-16
51.480359,43.652686,2021-07-15
51.564969,43.573402,2021-07-14
52.25306,42.912045,2021-07-13
52.266899,42.898072,2021-07-12
52.550715,43.040124,2021-07-11
52.550715,43.040124,2021-07-10
52.550715,43.040124,2021-07-09
52.601303,43.051361,2021-07-08
52.623447,43.013474,2021-07-07
52.706243,42.849098,2021-07-06
52.877062,43.187334,2021-07-05
52.877062,43.187334,2021-07-04
52.877062,43.187334,2021-07-03
52.877062,43.187334,2021-07-02
52.795442,43.148535,2021-07-01
52.805295,43.169048,2021-06-30
53.378856,42.384269,2021-06-29
53.42689,42.35115,2021-06-28
53.396775,42.344041,2021-06-27
53.396775,42.344041,2021-06-26
53.211888,42.989209,2021-06-25
53.211888,42.989209,2021-06-24
52.660922,43.23317,2021-06-23
51.72759,43.251195,2021-06-22
51.735747,43.240768,2021-06-21
51.882081,43.069059,2021-06-20
51.882081,43.069059,2021-06-19
51.882081,43.069059,2021-06-18
51.760323,43.086948,2021-06-17
51.725013,43.105839,2021-06-16
53.166753,41.998104,2021-06-15
53.510546,41.496812,2021-06-14
53.634855,41.291353,2021-06-13
53.634855,41.291353,2021-06-12
53.634855,41.291353,2021-06-11
53.542926,41.270245,2021-06-10
53.448103,41.326684,2021-06-09
53.509075,41.173641,2021-06-08
54.268686,40.532365,2021-06-07
54.405254,40.516758,2021-06-06
54.405254,40.516758,2021-06-05
54.405254,40.516758,2021-06-04
54.185524,40.630567,2021-06-03
53.622514,41.59777,2021-06-02
54.271137,41.113655,2021-06-01
54.148586,41.129395,2021-05-31
54.148586,41.129395,2021-05-30
54.148586,41.129395,2021-05-29
54.148586,41.129395,2021-05-28
54.259842,41.090223,2021-05-27
54.31796,41.044729,2021-05-26
54.82996,41.01167,2021-05-25
54.604395,41.12625,2021-05-24
54.410472,41.426232,2021-05-23
54.410472,41.426232,2021-05-22
54.410472,41.426232,2021-05-21
52.640546,42.320038,2021-05-20
52.519631,42.494369,2021-05-19
52.435187,42.3136,2021-05-18
52.497377,42.333436,2021-05-17
52.060657,42.839062,2021-05-16
52.060657,42.839062,2021-05-15
52.060657,42.839062,2021-05-14
52.177054,43.203335,2021-05-13
52.057766,43.330659,2021-05-12
53.458333,42.104685,2021-05-11
53.463078,42.10378,2021-05-10
53.582405,42.013141,2021-05-09
53.582405,42.013141,2021-05-08
53.582405,42.013141,2021-05-07
53.391694,42.068465,2021-05-06
53.291179,42.124882,2021-05-05
53.768567,41.687707,2021-05-04
53.738228,41.639533,2021-05-03
53.752309,42.015693,2021-05-02
53.752309,42.015693,2021-05-01
53.752309,42.015693,2021-04-30
53.611202,42.164411,2021-04-29
53.699358,42.09269,2021-04-28
54.347086,41.416566,2021-04-27
54.228864,41.110877,2021-04-26
54.102133,41.017827,2021-04-25
54.322518,40.641015,2021-04-24
54.322518,40.641015,2021-04-23
53.83098,41.105167,2021-04-22
53.851883,40.998809,2021-04-21
53.740306,41.488948,2021-04-20
53.536109,41.600263,2021-04-19
53.503212,41.641446,2021-04-18
53.503212,41.641446,2021-04-17
53.503212,41.641446,2021-04-16
52.89647,41.917442,2021-04-15
52.961705,41.985093,2021-04-14
54.054764,40.899407,2021-04-13
54.067496,40.882944,2021-04-12
54.098965,40.843721,2021-04-11
54.098965,40.843721,2021-04-10
54.098965,40.843721,2021-04-09
53.771709,41.086602,2021-04-08
53.61531,41.149734,2021-04-07
53.346771,41.322623,2021-04-06
53.399975,41.25864,2021-04-05
53.414394,40.741482,2021-04-04
53.414394,40.741482,2021-04-03
53.414394,40.741482,2021-04-02
53.43079,40.702125,2021-04-01
53.554584,40.571212,2021-03-31
53.885691,40.246736,2021-03-30
54.204771,40.03133,2021-03-29
54.033249,40.049159,2021-03-28
54.033249,40.049159,2021-03-27
54.033249,40.049159,2021-03-26
53.854973,40.052007,2021-03-25
54.132135,40.466474,2021-03-24
54.812867,39.57051,2021-03-23
54.92175,39.437541,2021-03-22
53.827543,40.737961,2021-03-21
53.827543,40.737961,2021-03-20
53.827543,40.737961,2021-03-19
53.251016,40.897037,2021-03-18
53.273447,40.855667,2021-03-17
52.319304,41.093549,2021-03-16
52.110086,41.243345,2021-03-15
52.311765,41.156289,2021-03-14
52.311765,41.156289,2021-03-13
52.311765,41.156289,2021-03-12
52.101676,41.070142,2021-03-11
53.095625,40.427495,2021-03-10
53.408873,39.967565,2021-03-09
53.357785,39.982715,2021-03-08
53.546009,39.902223,2021-03-07
